O3,O3_8hrs,NO2,CO,SO2,PM10,PM2_5,Estacion,DateTime,Anio,Mes,Dia,Hora
4.0,9.0,20.0,163.0,1.0,125.0,61.0,santa,2023-01-01 00:00:00,2023,1,1,0
3.0,7.0,18.0,185.0,1.0,145.0,64.0,santa,2023-01-01 01:00:00,2023,1,1,1
3.0,4.0,18.0,198.0,2.0,176.0,102.0,santa,2023-01-01 02:00:00,2023,1,1,2
3.0,3.0,17.0,206.99999999999997,2.0,191.0,131.0,santa,2023-01-01 03:00:00,2023,1,1,3
3.0,3.0,15.0,204.99999999999997,2.0,191.0,139.0,santa,2023-01-01 04:00:00,2023,1,1,4
3.0,3.0,14.0,197.0,2.0,171.0,134.0,santa,2023-01-01 05:00:00,2023,1,1,5
3.0,3.0,13.0,177.0,2.0,169.0,128.0,santa,2023-01-01 06:00:00,2023,1,1,6
3.0,3.0,12.0,153.0,2.0,163.0,123.0,santa,2023-01-01 07:00:00,2023,1,1,7
3.0,3.0,11.0,136.0,2.0,138.0,106.0,santa,2023-01-01 08:00:00,2023,1,1,8
7.0,4.0,13.0,121.0,2.0,143.0,106.0,santa,2023-01-01 09:00:00,2023,1,1,9
20.0,6.0,10.0,111.00000000000001,2.0,121.0,85.0,santa,2023-01-01 10:00:00,2023,1,1,10
31.0,9.0,6.0,96.0,2.0,83.0,65.0,santa,2023-01-01 11:00:00,2023,1,1,11
39.0,14.0,3.0,85.0,2.0,53.0,38.0,santa,2023-01-01 12:00:00,2023,1,1,12
33.0,17.0,0.0,71.0,2.0,28.0,21.0,santa,2023-01-01 13:00:00,2023,1,1,13
36.0,22.0,1.0,59.0,2.0,18.0,21.0,santa,2023-01-01 14:00:00,2023,1,1,14
35.0,26.0,0.0,47.0,2.0,13.0,,santa,2023-01-01 15:00:00,2023,1,1,15
36.0,30.0,3.0,35.0,2.0,16.0,,santa,2023-01-01 16:00:00,2023,1,1,16
29.0,32.0,4.0,26.0,2.0,12.0,,santa,2023-01-01 17:00:00,2023,1,1,17
21.0,33.0,9.0,22.0,2.0,16.0,,santa,2023-01-01 18:00:00,2023,1,1,18
13.0,30.0,17.0,25.0,2.0,23.0,,santa,2023-01-01 19:00:00,2023,1,1,19
10.0,27.0,20.0,30.0,2.0,52.0,14.0,santa,2023-01-01 20:00:00,2023,1,1,20
7.0,23.0,21.0,37.0,2.0,52.0,22.0,santa,2023-01-01 21:00:00,2023,1,1,21
4.0,19.0,26.0,50.0,2.0,58.0,26.0,santa,2023-01-01 22:00:00,2023,1,1,22
2.0,15.0,26.0,71.0,2.0,64.0,30.0,santa,2023-01-01 23:00:00,2023,1,1,23
2.0,11.0,24.0,84.0,2.0,67.0,30.0,santa,2023-01-02 00:00:00,2023,1,2,0
4.0,8.0,20.0,90.0,2.0,55.0,26.0,santa,2023-01-02 01:00:00,2023,1,2,1
3.0,6.0,18.0,94.0,2.0,46.0,23.0,santa,2023-01-02 02:00:00,2023,1,2,2
4.0,5.0,15.0,91.0,2.0,43.0,23.0,santa,2023-01-02 03:00:00,2023,1,2,3
2.0,4.0,17.0,92.0,2.0,43.0,23.0,santa,2023-01-02 04:00:00,2023,1,2,4
2.0,3.0,15.0,94.0,1.0,52.0,17.0,santa,2023-01-02 05:00:00,2023,1,2,5
2.0,3.0,13.0,90.0,1.0,47.0,17.0,santa,2023-01-02 06:00:00,2023,1,2,6
3.0,3.0,12.0,78.0,2.0,54.0,32.0,santa,2023-01-02 07:00:00,2023,1,2,7
3.0,3.0,12.0,72.0,2.0,53.0,31.0,santa,2023-01-02 08:00:00,2023,1,2,8
4.0,3.0,16.0,78.0,2.0,47.0,29.0,santa,2023-01-02 09:00:00,2023,1,2,9
9.0,4.0,26.0,86.0,2.0,44.0,16.0,santa,2023-01-02 10:00:00,2023,1,2,10
