O3,O3_8hrs,NO2,CO,SO2,PM10,PM2_5,Estacion,DateTime,Anio,Mes,Dia,Hora
,,20.0,99.0,2.0,98.0,65.0,santa,2024-01-03 05:00:00,2024,1,3,5
,,17.0,98.0,2.0,96.0,64.0,santa,2024-01-03 06:00:00,2024,1,3,6
,,16.0,99.0,2.0,100.0,68.0,santa,2024-01-03 07:00:00,2024,1,3,7
,,18.0,101.0,2.0,94.0,57.0,santa,2024-01-03 08:00:00,2024,1,3,8
,,22.0,104.0,2.0,103.0,54.0,santa,2024-01-03 09:00:00,2024,1,3,9
,,23.0,107.0,2.0,102.0,44.0,santa,2024-01-03 10:00:00,2024,1,3,10
,,11.0,99.0,2.0,75.0,25.0,santa,2024-01-03 11:00:00,2024,1,3,11
,,6.0,92.0,2.0,53.0,25.0,santa,2024-01-03 12:00:00,2024,1,3,12
,,7.0,83.0,2.0,37.0,9.0,santa,2024-01-03 13:00:00,2024,1,3,13
,,5.0,73.0,2.0,28.0,,santa,2024-01-03 14:00:00,2024,1,3,14
,,7.0,63.0,2.0,29.0,8.0,santa,2024-01-03 15:00:00,2024,1,3,15
,,8.0,51.0,2.0,29.0,8.0,santa,2024-01-03 16:00:00,2024,1,3,16
,,10.0,37.0,2.0,36.0,10.0,santa,2024-01-03 17:00:00,2024,1,3,17
,,14.0,26.0,2.0,36.0,19.0,santa,2024-01-03 18:00:00,2024,1,3,18
,,19.0,26.0,2.0,46.0,28.0,santa,2024-01-03 19:00:00,2024,1,3,19
,,23.0,39.0,2.0,64.0,27.0,santa,2024-01-03 20:00:00,2024,1,3,20
,,25.0,56.00000000000001,2.0,74.0,29.0,santa,2024-01-03 21:00:00,2024,1,3,21
,,26.0,73.0,2.0,82.0,31.0,santa,2024-01-03 22:00:00,2024,1,3,22
,,24.0,91.0,2.0,81.0,32.0,santa,2024-01-03 23:00:00,2024,1,3,23
,,22.0,106.0,2.0,86.0,37.0,santa,2024-01-04 00:00:00,2024,1,4,0
,,15.0,112.99999999999999,2.0,67.0,40.0,santa,2024-01-04 01:00:00,2024,1,4,1
,,10.0,113.99999999999999,2.0,50.0,31.0,santa,2024-01-04 02:00:00,2024,1,4,2
,,8.0,111.00000000000001,2.0,34.0,23.0,santa,2024-01-04 03:00:00,2024,1,4,3
,,7.0,98.0,2.0,32.0,23.0,santa,2024-01-04 04:00:00,2024,1,4,4
,,6.0,82.0,2.0,35.0,32.0,santa,2024-01-04 05:00:00,2024,1,4,5
,,12.0,67.0,2.0,40.0,34.0,santa,2024-01-04 06:00:00,2024,1,4,6
,,13.0,53.0,1.0,42.0,36.0,santa,2024-01-04 07:00:00,2024,1,4,7
,,15.0,43.0,1.0,50.0,40.0,santa,2024-01-04 08:00:00,2024,1,4,8
,,16.0,43.0,1.0,54.0,33.0,santa,2024-01-04 09:00:00,2024,1,4,9
,,8.0,42.0,1.0,45.0,33.0,santa,2024-01-04 10:00:00,2024,1,4,10
,,7.0,41.0,1.0,39.0,13.0,santa,2024-01-04 11:00:00,2024,1,4,11
,,6.0,40.0,1.0,24.0,,santa,2024-01-04 12:00:00,2024,1,4,12
,,7.0,39.0,1.0,23.0,,santa,2024-01-04 13:00:00,2024,1,4,13
,,7.0,37.0,1.0,27.0,,santa,2024-01-04 14:00:00,2024,1,4,14
,,7.0,33.0,1.0,36.0,,santa,2024-01-04 15:00:00,2024,1,4,15
,,8.0,28.000000000000004,1.0,40.0,4.0,santa,2024-01-04 16:00:00,2024,1,4,16
,,11.0,22.0,1.0,49.0,11.0,santa,2024-01-04 17:00:00,2024,1,4,17
,,13.0,20.0,1.0,49.0,16.0,santa,2024-01-04 18:00:00,2024,1,4,18
,,13.0,21.0,1.0,56.0,25.0,santa,2024-01-04 19:00:00,2024,1,4,19
,,16.0,25.0,1.0,55.0,26.0,santa,2024-01-04 20:00:00,2024,1,4,20
,,20.0,32.0,1.0,55.0,24.0,santa,2024-01-04 21:00:00,2024,1,4,21
,,18.0,40.0,1.0,50.0,20.0,santa,2024-01-04 22:00:00,2024,1,4,22
,,18.0,47.0,1.0,46.0,20.0,santa,2024-01-04 23:00:00,2024,1,4,23
,,14.0,51.0,1.0,38.0,14.0,santa,2024-01-05 00:00:00,2024,1,5,0
,,11.0,52.0,1.0,28.0,13.0,santa,2024-01-05 01:00:00,2024,1,5,1
,,10.0,52.0,1.0,26.0,14.0,santa,2024-01-05 02:00:00,2024,1,5,2
,,7.0,50.0,1.0,20.0,13.0,santa,2024-01-05 03:00:00,2024,1,5,3
,,5.0,44.0,1.0,16.0,9.0,santa,2024-01-05 04:00:00,2024,1,5,4
,,6.0,37.0,1.0,15.0,9.0,santa,2024-01-05 05:00:00,2024,1,5,5
,,8.0,30.0,1.0,22.0,15.0,santa,2024-01-05 06:00:00,2024,1,5,6
,,10.0,24.0,1.0,27.0,13.0,santa,2024-01-05 07:00:00,2024,1,5,7
,,11.0,25.0,1.0,29.0,16.0,santa,2024-01-05 08:00:00,2024,1,5,8
,,8.0,25.0,1.0,22.0,8.0,santa,2024-01-05 09:00:00,2024,1,5,9
,,9.0,26.0,1.0,26.0,5.0,santa,2024-01-05 10:00:00,2024,1,5,10
,,7.0,27.0,1.0,25.0,5.0,santa,2024-01-05 11:00:00,2024,1,5,11
,,6.0,27.0,1.0,24.0,,santa,2024-01-05 12:00:00,2024,1,5,12
,,6.0,28.000000000000004,1.0,33.0,,santa,2024-01-05 13:00:00,2024,1,5,13
,,4.0,27.0,1.0,46.0,7.0,santa,2024-01-05 14:00:00,2024,1,5,14
,,7.0,25.0,1.0,49.0,8.0,santa,2024-01-05 15:00:00,2024,1,5,15
,,8.0,21.0,1.0,50.0,8.0,santa,2024-01-05 16:00:00,2024,1,5,16
,,9.0,20.0,1.0,58.0,13.0,santa,2024-01-05 17:00:00,2024,1,5,17
,,11.0,20.0,1.0,59.0,19.0,santa,2024-01-05 18:00:00,2024,1,5,18
,,13.0,22.0,1.0,56.0,23.0,santa,2024-01-05 19:00:00,2024,1,5,19
,,14.0,26.0,1.0,57.0,24.0,santa,2024-01-05 20:00:00,2024,1,5,20
,,13.0,31.0,1.0,53.0,25.0,santa,2024-01-05 21:00:00,2024,1,5,21
,,16.0,39.0,1.0,55.0,21.0,santa,2024-01-05 22:00:00,2024,1,5,22
,,15.0,46.0,1.0,54.0,21.0,santa,2024-01-05 23:00:00,2024,1,5,23
,,12.0,48.0,1.0,49.0,18.0,santa,2024-01-06 00:00:00,2024,1,6,0
,,10.0,50.0,1.0,33.0,18.0,santa,2024-01-06 01:00:00,2024,1,6,1
,,9.0,51.0,1.0,29.0,14.0,santa,2024-01-06 02:00:00,2024,1,6,2
,,6.0,49.0,1.0,24.0,14.0,santa,2024-01-06 03:00:00,2024,1,6,3
,,4.0,46.0,1.0,22.0,11.0,santa,2024-01-06 04:00:00,2024,1,6,4
,,5.0,41.0,1.0,15.0,11.0,santa,2024-01-06 05:00:00,2024,1,6,5
,,5.0,35.0,1.0,17.0,12.0,santa,2024-01-06 06:00:00,2024,1,6,6
,,7.0,28.999999999999996,1.0,20.0,12.0,santa,2024-01-06 07:00:00,2024,1,6,7
,,9.0,30.0,1.0,26.0,14.0,santa,2024-01-06 08:00:00,2024,1,6,8
,,7.0,31.0,1.0,30.0,18.0,santa,2024-01-06 09:00:00,2024,1,6,9
,,5.0,31.0,1.0,20.0,18.0,santa,2024-01-06 10:00:00,2024,1,6,10
,,4.0,31.0,1.0,20.0,,santa,2024-01-06 11:00:00,2024,1,6,11
,,5.0,30.0,1.0,20.0,,santa,2024-01-06 12:00:00,2024,1,6,12
,,5.0,30.0,1.0,23.0,,santa,2024-01-06 13:00:00,2024,1,6,13
,,6.0,30.0,1.0,28.0,4.0,santa,2024-01-06 14:00:00,2024,1,6,14
,,7.0,30.0,1.0,41.0,7.0,santa,2024-01-06 15:00:00,2024,1,6,15
,,8.0,26.0,1.0,54.0,7.0,santa,2024-01-06 16:00:00,2024,1,6,16
,,9.0,23.0,1.0,53.0,13.0,santa,2024-01-06 17:00:00,2024,1,6,17
,,10.0,23.0,1.0,54.0,17.0,santa,2024-01-06 18:00:00,2024,1,6,18
,,12.0,24.0,1.0,48.0,24.0,santa,2024-01-06 19:00:00,2024,1,6,19
,,18.0,28.999999999999996,1.0,45.0,19.0,santa,2024-01-06 20:00:00,2024,1,6,20
,,20.0,37.0,1.0,53.0,25.0,santa,2024-01-06 21:00:00,2024,1,6,21
,,19.0,45.0,1.0,45.0,24.0,santa,2024-01-06 22:00:00,2024,1,6,22
,,17.0,53.0,1.0,42.0,24.0,santa,2024-01-06 23:00:00,2024,1,6,23
,,17.0,64.0,1.0,46.0,24.0,santa,2024-01-07 00:00:00,2024,1,7,0
,,16.0,73.0,1.0,44.0,22.0,santa,2024-01-07 01:00:00,2024,1,7,1
,,15.0,81.0,1.0,58.0,35.0,santa,2024-01-07 02:00:00,2024,1,7,2
,,15.0,84.0,1.0,64.0,41.0,santa,2024-01-07 03:00:00,2024,1,7,3
,,16.0,86.0,1.0,65.0,42.0,santa,2024-01-07 04:00:00,2024,1,7,4
,,16.0,85.0,1.0,68.0,43.0,santa,2024-01-07 05:00:00,2024,1,7,5
,,14.0,83.0,1.0,64.0,46.0,santa,2024-01-07 06:00:00,2024,1,7,6
,,13.0,80.0,1.0,57.0,43.0,santa,2024-01-07 07:00:00,2024,1,7,7
,,13.0,74.0,1.0,54.0,38.0,santa,2024-01-07 08:00:00,2024,1,7,8
,,12.0,69.0,1.0,56.0,31.0,santa,2024-01-07 09:00:00,2024,1,7,9
,,12.0,65.0,1.0,46.0,21.0,santa,2024-01-07 10:00:00,2024,1,7,10
,,11.0,63.0,1.0,45.0,17.0,santa,2024-01-07 11:00:00,2024,1,7,11
,,7.0,56.99999999999999,1.0,63.0,17.0,santa,2024-01-07 12:00:00,2024,1,7,12
,,6.0,50.0,1.0,70.0,6.0,santa,2024-01-07 13:00:00,2024,1,7,13
,,7.0,44.0,1.0,58.0,3.0,santa,2024-01-07 14:00:00,2024,1,7,14
,,7.0,39.0,1.0,36.0,4.0,santa,2024-01-07 15:00:00,2024,1,7,15
,,7.0,33.0,1.0,29.0,7.0,santa,2024-01-07 16:00:00,2024,1,7,16
,,8.0,28.000000000000004,1.0,28.0,9.0,santa,2024-01-07 17:00:00,2024,1,7,17
,,8.0,24.0,1.0,33.0,20.0,santa,2024-01-07 18:00:00,2024,1,7,18
,,13.0,23.0,1.0,39.0,24.0,santa,2024-01-07 19:00:00,2024,1,7,19
,,18.0,27.0,1.0,45.0,25.0,santa,2024-01-07 20:00:00,2024,1,7,20
,,25.0,34.0,1.0,52.0,29.0,santa,2024-01-07 21:00:00,2024,1,7,21
,,27.0,44.0,1.0,57.0,27.0,santa,2024-01-07 22:00:00,2024,1,7,22
,,24.0,60.0,1.0,72.0,31.0,santa,2024-01-07 23:00:00,2024,1,7,23
,,18.0,68.0,1.0,75.0,29.0,santa,2024-01-08 00:00:00,2024,1,8,0
,,15.0,73.0,1.0,65.0,37.0,santa,2024-01-08 01:00:00,2024,1,8,1
,,9.0,75.0,1.0,53.0,33.0,santa,2024-01-08 02:00:00,2024,1,8,2
,,10.0,76.0,1.0,47.0,30.0,santa,2024-01-08 03:00:00,2024,1,8,3
,,9.0,74.0,1.0,41.0,28.0,santa,2024-01-08 04:00:00,2024,1,8,4
,,12.0,68.0,1.0,33.0,25.0,santa,2024-01-08 05:00:00,2024,1,8,5
,,13.0,62.0,1.0,37.0,27.0,santa,2024-01-08 06:00:00,2024,1,8,6
,,15.0,57.99999999999999,1.0,48.0,30.0,santa,2024-01-08 07:00:00,2024,1,8,7
,,14.0,75.0,1.0,65.0,36.0,santa,2024-01-08 08:00:00,2024,1,8,8
,,20.0,102.0,1.0,134.0,41.0,santa,2024-01-08 09:00:00,2024,1,8,9
,,12.0,110.00000000000001,1.0,115.0,41.0,santa,2024-01-08 10:00:00,2024,1,8,10
,,6.0,111.00000000000001,1.0,68.0,,santa,2024-01-08 11:00:00,2024,1,8,11
,,6.0,110.00000000000001,1.0,42.0,,santa,2024-01-08 12:00:00,2024,1,8,12
,,6.0,108.0,1.0,36.0,,santa,2024-01-08 13:00:00,2024,1,8,13
,,7.0,104.0,1.0,43.0,,santa,2024-01-08 14:00:00,2024,1,8,14
,,6.0,92.0,1.0,42.0,6.0,santa,2024-01-08 15:00:00,2024,1,8,15
,,6.0,68.0,1.0,50.0,12.0,santa,2024-01-08 16:00:00,2024,1,8,16
,,4.0,34.0,1.0,65.0,15.0,santa,2024-01-08 17:00:00,2024,1,8,17
,,5.0,23.0,1.0,56.0,20.0,santa,2024-01-08 18:00:00,2024,1,8,18
,,11.0,21.0,1.0,54.0,18.0,santa,2024-01-08 19:00:00,2024,1,8,19
,,10.0,21.0,1.0,48.0,18.0,santa,2024-01-08 20:00:00,2024,1,8,20
,,11.0,23.0,1.0,42.0,15.0,santa,2024-01-08 21:00:00,2024,1,8,21
,,7.0,23.0,1.0,39.0,12.0,santa,2024-01-08 22:00:00,2024,1,8,22
,,4.0,22.0,1.0,36.0,8.0,santa,2024-01-08 23:00:00,2024,1,8,23
,,6.0,22.0,1.0,30.0,11.0,santa,2024-01-09 00:00:00,2024,1,9,0
,,4.0,22.0,1.0,26.0,16.0,santa,2024-01-09 01:00:00,2024,1,9,1
,,4.0,21.0,1.0,24.0,16.0,santa,2024-01-09 02:00:00,2024,1,9,2
,,3.0,18.0,1.0,21.0,12.0,santa,2024-01-09 03:00:00,2024,1,9,3
,,4.0,16.0,1.0,14.0,12.0,santa,2024-01-09 04:00:00,2024,1,9,4
,,4.0,13.0,1.0,14.0,,santa,2024-01-09 05:00:00,2024,1,9,5
,,8.0,13.0,1.0,21.0,,santa,2024-01-09 06:00:00,2024,1,9,6
,,13.0,17.0,1.0,23.0,14.0,santa,2024-01-09 07:00:00,2024,1,9,7
,,13.0,25.0,1.0,42.0,21.0,santa,2024-01-09 08:00:00,2024,1,9,8
,,13.0,33.0,1.0,47.0,13.0,santa,2024-01-09 09:00:00,2024,1,9,9
,,6.0,36.0,1.0,32.0,13.0,santa,2024-01-09 10:00:00,2024,1,9,10
,,7.0,39.0,1.0,22.0,,santa,2024-01-09 11:00:00,2024,1,9,11
,,5.0,40.0,1.0,23.0,,santa,2024-01-09 12:00:00,2024,1,9,12
,,6.0,40.0,1.0,30.0,10.0,santa,2024-01-09 13:00:00,2024,1,9,13
,,5.0,39.0,1.0,26.0,10.0,santa,2024-01-09 14:00:00,2024,1,9,14
,,6.0,35.0,1.0,31.0,12.0,santa,2024-01-09 15:00:00,2024,1,9,15
,,7.0,27.0,1.0,34.0,18.0,santa,2024-01-09 16:00:00,2024,1,9,16
,,9.0,19.0,1.0,40.0,22.0,santa,2024-01-09 17:00:00,2024,1,9,17
,,14.0,19.0,1.0,42.0,25.0,santa,2024-01-09 18:00:00,2024,1,9,18
,,21.0,22.0,1.0,44.0,26.0,santa,2024-01-09 19:00:00,2024,1,9,19
,,25.0,28.999999999999996,1.0,52.0,24.0,santa,2024-01-09 20:00:00,2024,1,9,20
,,26.0,39.0,1.0,66.0,28.0,santa,2024-01-09 21:00:00,2024,1,9,21
,,25.0,57.99999999999999,1.0,86.0,34.0,santa,2024-01-09 22:00:00,2024,1,9,22
