DateTime,O3,CO,NO2,SO2,PM10,PM2.5,Estacion
01/01/2022 00:00,5.04,,26.6,3.19,186,84,AGUA SANTA
01/01/2022 01:00,6.25,,23.6,2.94,207,132,AGUA SANTA
01/01/2022 02:00,4.81,,26.8,3.11,245,159,AGUA SANTA
01/01/2022 03:00,4.7,,25.7,2.29,271,158,AGUA SANTA
01/01/2022 04:00,4.62,,24.1,2.63,260,169,AGUA SANTA
01/01/2022 05:00,4.5,,23.3,2.06,237,157,AGUA SANTA
01/01/2022 06:00,5.15,,21.4,1.85,268,161,AGUA SANTA
01/01/2022 07:00,5.83,,18.8,2.09,250,154,AGUA SANTA
01/01/2022 08:00,14.26,,14.3,3.88,178,111,AGUA SANTA
01/01/2022 09:00,31.6,,11,3.55,133,94,AGUA SANTA
01/01/2022 10:00,49.47,,6.8,2.19,65,48,AGUA SANTA
01/01/2022 11:00,64.32,,4.4,1.74,55,39,AGUA SANTA
01/01/2022 12:00,73.41,,3.1,2.02,27,26,AGUA SANTA
01/01/2022 13:00,72.95,,4.7,1.99,27,,AGUA SANTA
01/01/2022 14:00,55.06,,2.6,1.06,46,19,AGUA SANTA
01/01/2022 15:00,57.95,,2.6,1.16,43,13,AGUA SANTA
01/01/2022 16:00,57.1,,2.4,1.13,37,19,AGUA SANTA
01/01/2022 17:00,45.23,,5.8,1.09,44,26,AGUA SANTA
01/01/2022 18:00,26.22,,19,1.69,64,,AGUA SANTA
01/01/2022 19:00,28.4,,19.4,1.92,47,12,AGUA SANTA
01/01/2022 20:00,4.95,,33.8,2.47,100,24,AGUA SANTA
01/01/2022 21:00,2.79,,32.1,1.93,105,51,AGUA SANTA
01/01/2022 22:00,6.7,,25.5,1.4,94,73,AGUA SANTA
01/01/2022 23:00,3.56,,24.7,1.08,144,62,AGUA SANTA
02/01/2022 00:00,3.89,,24.5,1.52,133,52,AGUA SANTA
02/01/2022 01:00,4.08,,23.5,1.62,118,58,AGUA SANTA
02/01/2022 02:00,6.68,,18.9,1.18,93,58,AGUA SANTA
02/01/2022 03:00,8.53,,15.2,1.35,90,42,AGUA SANTA
02/01/2022 04:00,7.86,,15.1,1.58,62,33,AGUA SANTA
02/01/2022 05:00,7.87,,13.3,0.95,70,28,AGUA SANTA
02/01/2022 06:00,6.32,,14.5,0.81,55,31,AGUA SANTA
02/01/2022 07:00,6.64,,14.1,1,60,29,AGUA SANTA
02/01/2022 08:00,14.21,,11.4,1.76,42,29,AGUA SANTA
02/01/2022 09:00,22.64,,10.4,1.76,34,19,AGUA SANTA
02/01/2022 10:00,35.99,,7.1,2.11,27,13,AGUA SANTA
02/01/2022 11:00,42.05,,3.1,0.8,57,14,AGUA SANTA
02/01/2022 12:00,51.34,,4.5,0.7,77,14,AGUA SANTA
02/01/2022 13:00,65.95,,6.6,1.06,55,16,AGUA SANTA
02/01/2022 14:00,55.7,,5.1,0.79,40,22,AGUA SANTA
02/01/2022 15:00,37.68,,6.7,0.63,118,24,AGUA SANTA
02/01/2022 16:00,33.91,,7.9,0.46,157,21,AGUA SANTA
02/01/2022 17:00,29.51,,10,0.68,121,23,AGUA SANTA
02/01/2022 18:00,24.78,,10.8,1.11,82,49,AGUA SANTA
02/01/2022 19:00,19.87,,10,0.59,57,26,AGUA SANTA
02/01/2022 20:00,20.06,,8.9,0.74,45,35,AGUA SANTA
02/01/2022 21:00,21.24,,9.1,0.56,24,12,AGUA SANTA
02/01/2022 22:00,25.13,,6.5,0.24,37,15,AGUA SANTA
02/01/2022 23:00,26.54,,5,0.37,12,,AGUA SANTA
03/01/2022 00:00,25.58,,4.5,0.17,22,5,AGUA SANTA
03/01/2022 01:00,25.63,,3.6,0.01,20,7,AGUA SANTA
03/01/2022 02:00,25.95,,3.3,0.16,,21,AGUA SANTA
03/01/2022 03:00,24.09,,4.3,0.11,13,,AGUA SANTA
03/01/2022 04:00,21.95,,5.1,0.14,15,,AGUA SANTA
03/01/2022 05:00,17.08,,7.1,0.15,9,,AGUA SANTA
03/01/2022 06:00,6.34,,12.7,0.27,26,18,AGUA SANTA
03/01/2022 07:00,4.19,,14.5,0.59,18,20,AGUA SANTA
03/01/2022 08:00,13.51,,12.9,0.6,48,15,AGUA SANTA
03/01/2022 09:00,28.55,,7.7,0.45,24,,AGUA SANTA
03/01/2022 10:00,34.64,,6.7,0.22,17,2,AGUA SANTA
03/01/2022 11:00,41.38,,7.5,0.37,34,2,AGUA SANTA
03/01/2022 12:00,50.62,,7.9,0.41,35,9,AGUA SANTA
03/01/2022 13:00,49.31,,6.4,0.4,38,,AGUA SANTA
03/01/2022 14:00,42.24,,5.1,0.32,24,22,AGUA SANTA
03/01/2022 15:00,41.35,,4.3,0.33,18,15,AGUA SANTA
03/01/2022 16:00,31.46,,8.5,0.37,22,20,AGUA SANTA
03/01/2022 17:00,25.05,,12.2,0.32,41,27,AGUA SANTA
03/01/2022 18:00,19.21,,16,0.68,84,55,AGUA SANTA
03/01/2022 19:00,19.16,,14.8,0.63,78,31,AGUA SANTA
03/01/2022 20:00,19.2,,13.2,0.37,65,20,AGUA SANTA
03/01/2022 21:00,13.13,,14.5,0.11,67,32,AGUA SANTA
03/01/2022 22:00,10.63,,15.2,0.31,34,33,AGUA SANTA
03/01/2022 23:00,4.78,,17.7,0.43,54,10,AGUA SANTA
04/01/2022 00:00,3.74,,17.2,0.36,55,13,AGUA SANTA
04/01/2022 01:00,3.09,,16.9,0.24,49,22,AGUA SANTA
04/01/2022 02:00,5.22,,14.5,0.09,37,13,AGUA SANTA
04/01/2022 03:00,5.97,,11.9,,38,14,AGUA SANTA
04/01/2022 04:00,4.93,,11,0.34,38,12,AGUA SANTA
04/01/2022 05:00,3.57,,12.5,0.37,55,17,AGUA SANTA
04/01/2022 06:00,3.03,,15.9,0.8,75,26,AGUA SANTA
04/01/2022 07:00,3.63,,17.1,1.35,83,38,AGUA SANTA
04/01/2022 08:00,9.46,,19,1.45,85,40,AGUA SANTA
04/01/2022 09:00,21.65,,20.6,1.25,101,21,AGUA SANTA
04/01/2022 10:00,37.02,,21.7,1.2,68,20,AGUA SANTA
04/01/2022 11:00,53.64,,18.1,1.42,45,19,AGUA SANTA
04/01/2022 12:00,52.14,,10,1.02,59,27,AGUA SANTA
04/01/2022 13:00,64.44,,8.3,0.96,22,9,AGUA SANTA
04/01/2022 14:00,68.62,,6.9,1.09,50,25,AGUA SANTA
04/01/2022 15:00,63.74,,5.6,0.74,50,1,AGUA SANTA
04/01/2022 16:00,61,,7.1,0.65,29,6,AGUA SANTA
